WellName,EventCode,Event_ID,API,Objective,ProjectNumber,StartDate,EndDate,Asset,Failure_Location,Root_Cause
TIERNEY 25-80D,WO,1akwQ,4903727914,SURVEILLANCE,X4-013RT-E:T25_80D,2/9/2017,2/9/2017,West,TUBING,BARIUM SULFATE
TIERNEY 25-80D,WO,PP9aX,4903727914,TUBING REPAIR,X4-0147M,3/30/2017,4/7/2017,West,TUBING,BARIUM SULFATE
TIERNEY II UNIT 22-20D,WO,yMQfQ,4903728396,SURVEILLANCE,X4-013RT-E:TIIU22_20,11/18/2016,11/18/2016,West,TUBING,BARIUM SULFATE
TIERNEY II UNIT 22-20D,WO,0MvxY,4903728396,TUBING REPAIR,X4-013XN,1/14/2017,1/24/2017,West,TUBING,BARIUM SULFATE
CG ROAD UNIT 35-10D,WO,0O7HK,4903729253,CLEAN OUT - SWAB,NULL,7/17/2017,7/18/2017,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,Idg6b,4903729253,CLEAN OUT - SWAB,NULL,7/5/2017,7/5/2017,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,KPeBH,4903729253,CLEAN OUT - SWAB,1000546911_7883_3729,8/15/2016,8/19/2016,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,lZv4F,4903729253,CLEAN OUT - SWAB,1000546911_7883_3729,8/15/2016,8/15/2016,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,nVThg,4903729253,CLEAN OUT - SWAB,1000546911_7883_3729,6/29/2016,6/29/2016,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,P6Ahf,4903729253,CLEAN OUT - SWAB,1000546911_7883_3729,9/23/2016,9/24/2016,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,Yvvoi,4903729253,CLEAN OUT - SWAB,1000546911_7883_3729,4/13/2016,4/14/2016,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,sb7Jp,4903729253,CLEAN OUT - SWAB,X4-013RW-E:CGR35_10D,12/13/2016,12/15/2016,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,2imBI,4903729253,CLEAN OUT - SWAB,X4-013RW-E:CGRU35_10,10/31/2016,11/4/2016,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,UgE6J,4903729253,CLEAN OUT - SWAB,X4-01470-E:CG35_10D,6/23/2017,6/23/2017,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,XeEcg,4903729253,CLEAN OUT - SWAB,X4-01470-E:CG35_10D,6/29/2017,6/29/2017,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,R6QVf,4903729253,CLEAN OUT - SWAB,X4-01470-E:CGR35_10D,3/24/2017,3/24/2017,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,mo8Fs,4903729253,CLEAN OUT - SWAB,X401470-E:CGU35_10D,5/25/2017,5/25/2017,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,56IjE,4903729253,PLUNGER LIFT REPAIR,1000546911_7880_3729,6/2/2016,6/2/2016,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,CcrNo,4903729253,TREATMENT - ACID,1000546911_8100_3729,6/13/2016,6/17/2016,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 35-10D,WO,G04aQ,4903729253,TUBING REPAIR,X4-01437,3/5/2017,3/15/2017,East,NULL,CALCIUM CARBONATE
CG ROAD UNIT 36-70D,WO,10cyD,4903729106,CLEAN OUT - SWAB,NULL,8/22/2017,8/22/2017,East,TUBING,CALCIUM CARBONATE
CG ROAD UNIT 36-70D,WO,HuBne,4903729106,CLEAN OUT - SWAB,NULL,7/7/2017,7/7/2017,East,TUBING,CALCIUM CARBONATE
CG ROAD UNIT 36-70D,WO,6Tvra,4903729106,CLEAN OUT - SWAB,1000765974_7883_3729,9/23/2016,9/23/2016,East,TUBING,CALCIUM CARBONATE
CG ROAD UNIT 36-70D,WO,BQuoB,4903729106,CLEAN OUT - SWAB,1000765974_7883_3729,8/17/2016,8/18/2016,East,TUBING,CALCIUM CARBONATE
